Project_ID,Start_Date,Location,Project_Type,Duration_Days,Complexity,Risk_Level,Area_sqm,Cost_Budgeted,Actual_Duration,Actual_Cost
P0342,2023-11-04,ENG,Minor Renovation,208,Low,Medium,82,64800,262,73700
P0343,2024-02-02,HRIC,IT/AV,173,Low,High,88,196600,193,262000
P0344,2023-02-02,SA,Classroom,336,High,Medium,489,3664700,383,4531700
P0345,2022-07-07,KNB,Major Renovation,97,Low,Low,277,749800,92,895300
P0346,2023-04-05,AD,Dry Lab,276,High,Medium,26,209700,386,262600
P0347,2022-02-21,AD,Classroom,136,High,Low,22,147800,149,195700
P0348,2021-11-07,ENG,Major Renovation,212,Medium,Medium,38,50200,290,60600
P0349,2020-07-06,ENF,Minor Renovation,148,Low,High,85,34400,203,43000
P0350,2024-07-21,SB,Dry Lab,136,Medium,Medium,16,78800,175,85900
P0351,2022-03-15,ENA,Major Renovation,201,Low,Critical,85,312900,221,361300
P0352,2023-10-13,ENA,Minor Renovation,291,Medium,Medium,55,70600,347,79500
P0353,2022-07-02,SA,Wet Lab,218,High,Medium,15,137100,265,194900
P0354,2021-03-14,TFDL,Dry Lab,198,Medium,Medium,11,44100,219,50800
P0355,2023-12-09,END,Classroom,230,High,Medium,61,361200,333,411300
P0356,2022-08-15,HMRB,Classroom,153,Medium,Low,39,268600,181,291000
P0357,2021-09-18,KNB,Major Renovation,202,Medium,High,58,211800,215,295000
P0358,2022-10-11,KNB,Minor Renovation,154,Low,High,22,16700,188,17300
P0359,2021-02-16,ENF,Minor Renovation,270,Medium,High,263,383800,311,534900
P0360,2022-12-09,KNB,Dry Lab,720,High,Critical,444,4353600,976,6245600
P0361,2022-05-10,ENG,Dry Lab,234,High,Medium,225,1350600,284,2024300
P0362,2020-11-14,HMRB,Wet Lab,364,Medium,High,95,818200,410,942000
P0363,2020-12-25,HRIC,Wet Lab,513,Medium,Critical,70,541200,695,735900
P0364,2022-09-22,TFDL,Minor Renovation,198,Medium,Medium,10,8400,258,9000
P0365,2022-04-12,ENA,Dry Lab,363,Medium,Medium,374,2439800,433,2773600
P0366,2020-10-19,ENC,Major Renovation,508,High,High,60,228800,638,337200
P0367,2021-11-07,ENA,Major Renovation,272,Medium,Medium,99,153900,280,157600
P0368,2021-04-15,AD,Classroom,816,High,Critical,355,3491300,1247,4959100
P0369,2021-06-15,ENB,Minor Renovation,220,Medium,Low,63,34600,261,44700
P0370,2024-01-22,SA,Wet Lab,191,Medium,Low,74,703500,197,717900
P0371,2020-09-13,KNB,Minor Renovation,148,Low,Medium,433,321000,158,416400
P0372,2021-06-18,ENF,Wet Lab,100,Low,High,40,232300,138,294600
P0373,2023-12-05,ENA,Wet Lab,144,High,Medium,8,78200,206,96000
P0374,2022-10-18,ENB,Wet Lab,258,Medium,Low,57,378300,336,457800
P0375,2022-04-29,ES,Minor Renovation,336,High,Medium,371,672900,413,959600
P0376,2024-12-08,SA,Wet Lab,198,Low,Medium,71,418000,262,457200
P0377,2023-01-23,SB,Minor Renovation,327,Medium,High,90,83900,384,92800
P0378,2021-08-10,SB,Wet Lab,245,Medium,Medium,55,524700,271,641200
P0379,2021-09-09,SB,IT/AV,373,Medium,High,459,1182300,526,1748700
P0380,2023-08-13,KNA,Minor Renovation,630,High,Critical,57,112200,970,140000
P0381,2022-02-27,ENA,Minor Renovation,624,High,High,454,226400,770,303100
P0382,2020-10-16,ES,Minor Renovation,210,Medium,Medium,45,16200,271,20500
P0383,2021-05-10,HRIC,Dry Lab,286,Medium,High,331,1901100,333,2809200
P0384,2021-06-14,KNA,Wet Lab,166,Medium,Low,71,366800,185,378000
P0385,2020-10-19,ES,Minor Renovation,216,High,Low,35,60500,301,63600
P0386,2021-03-01,HMRB,Wet Lab,154,Low,Low,321,1592800,200,1972300
P0387,2022-07-11,KNA,Minor Renovation,187,Medium,Medium,32,40300,208,51000
P0388,2023-08-13,KNB,Major Renovation,229,Medium,High,79,191600,252,209500
P0389,2021-09-05,END,Major Renovation,286,Medium,High,59,136600,335,150800
P0390,2021-06-11,ENB,Minor Renovation,216,Low,Medium,260,188200,254,220800
P0391,2021-01-25,ES,Minor Renovation,159,Low,High,64,66000,204,89700
P0392,2022-10-12,ENG,Wet Lab,216,Low,High,142,1170100,243,1428800
P0393,2024-04-05,SA,Minor Renovation,207,Medium,Critical,22,32700,302,41400
P0394,2024-11-26,KNB,Wet Lab,158,Medium,Medium,43,389700,189,425300
P0395,2021-11-06,ENA,Furniture,517,High,High,336,1130800,791,1738400
P0396,2022-06-10,ENG,Major Renovation,280,Medium,High,98,189200,401,267900
P0397,2023-11-26,TFDL,Dry Lab,220,High,Medium,18,113500,313,126800
P0398,2023-08-26,ENA,Wet Lab,324,High,Medium,140,1101200,441,1554500
P0399,2023-06-19,ENF,Minor Renovation,144,Medium,Low,61,70900,190,84000
P0400,2023-12-12,ENB,Major Renovation,194,Low,Medium,54,159000,217,153800
P0401,2022-09-10,KNA,Dry Lab,189,Medium,Medium,83,528000,253,678100
P0402,2024-11-13,ENG,Minor Renovation,205,Medium,Medium,281,156200,217,164600
P0403,2024-02-10,ES,IT/AV,162,Medium,Low,50,86800,215,109000
P0404,2024-02-09,ENF,Minor Renovation,180,Medium,Critical,46,55200,225,80000
P0405,2021-06-21,HMRB,Dry Lab,133,Medium,Medium,48,335300,149,415700
P0406,2023-09-01,SA,Classroom,184,Medium,High,11,90100,220,96500
P0407,2024-04-19,ENA,Dry Lab,148,Low,High,85,477600,166,649000
P0408,2021-04-26,ENF,Furniture,166,Low,High,14,27600,219,29500
P0409,2021-09-21,ENA,Dry Lab,226,Medium,Medium,199,813800,255,960400
P0410,2024-11-17,AD,Major Renovation,211,Low,High,346,584700,246,745200
P0411,2020-12-28,SB,Minor Renovation,187,Low,Medium,69,37500,196,44300
P0412,2020-11-12,ENF,Minor Renovation,253,Medium,High,131,130500,272,183000
P0413,2024-10-12,KNA,Wet Lab,98,Low,Low,13,59500,109,67100
P0414,2022-06-28,ENC,Major Renovation,238,Medium,Low,73,171800,258,225200
P0415,2024-07-02,TFDL,Furniture,182,High,Medium,44,77800,219,88900
P0416,2023-05-27,ENB,Classroom,385,High,Medium,85,344600,522,493200
P0417,2020-07-27,ENF,IT/AV,163,Medium,Medium,30,72100,192,78800
P0418,2024-06-06,ENF,Minor Renovation,396,Medium,Critical,343,433400,562,548400
P0419,2023-07-26,SA,Minor Renovation,137,Medium,Low,65,77700,139,89600
P0420,2022-06-12,KNB,Minor Renovation,291,Medium,Medium,65,74300,405,96900
P0421,2021-02-12,TFDL,Major Renovation,247,Medium,Low,97,144900,266,167300
P0422,2024-05-21,HMRB,Furniture,324,High,High,76,264400,370,323800
P0423,2024-07-24,ENC,Major Renovation,180,High,Medium,5,15400,193,17200
P0424,2021-12-11,ENF,Furniture,162,Medium,Low,28,53900,215,54200
P0425,2022-01-20,TFDL,Major Renovation,190,Low,Medium,64,85400,200,86700
P0426,2024-07-29,AD,Minor Renovation,275,Medium,Medium,51,38400,320,53300
P0427,2020-11-29,ENA,Minor Renovation,204,High,Low,71,26800,252,37500
P0428,2024-08-15,SB,Dry Lab,270,Medium,Medium,451,3247600,314,4157200
P0429,2020-09-01,HMRB,Minor Renovation,293,Medium,High,335,233400,399,315000
P0430,2024-06-05,KNA,Wet Lab,288,Medium,High,449,4812800,407,5802400
P0431,2021-10-22,ENG,Minor Renovation,363,Medium,Medium,355,314000,391,339600
P0432,2021-06-11,AD,Dry Lab,542,High,Medium,398,2268900,732,3329400
P0433,2021-08-21,ENA,Classroom,211,Low,High,64,335800,287,428700
P0434,2022-07-22,KNB,Major Renovation,588,High,Critical,67,316900,737,441600
P0435,2021-08-22,ENB,Dry Lab,153,Medium,Medium,42,249800,201,270400
P0436,2020-08-14,ENA,Classroom,195,Medium,Low,51,264000,207,314400
P0437,2022-07-02,ES,Minor Renovation,357,Medium,High,76,94800,413,128600
P0438,2024-08-10,ENC,Minor Renovation,157,Medium,High,7,3500,214,4900
P0439,2024-12-10,END,Minor Renovation,184,High,Low,31,18300,232,22400
P0440,2024-02-26,AD,Minor Renovation,280,High,Medium,85,126400,313,167900
P0441,2024-09-18,END,Minor Renovation,279,Medium,High,367,166800,331,208100
P0442,2023-02-16,HMRB,Minor Renovation,234,Low,Critical,56,75400,279,109800
P0443,2021-02-19,KNA,Dry Lab,221,Medium,Medium,121,627400,248,714600
P0444,2024-06-05,SB,Minor Renovation,202,High,Low,33,35200,250,44000
P0445,2023-10-12,ENG,Major Renovation,315,Medium,Critical,10,25300,460,32500
P0446,2023-12-21,HMRB,Minor Renovation,283,Medium,Medium,60,35000,393,37900
P0447,2023-12-19,SA,Classroom,237,Medium,Critical,27,120500,314,169200
P0448,2021-06-20,TFDL,Major Renovation,636,Medium,Critical,496,2090900,964,2862400
P0449,2021-08-02,ES,Classroom,210,Low,Critical,94,523200,244,697500
P0450,2024-05-01,END,Classroom,300,Medium,High,80,508000,385,553900
P0451,2023-06-05,ENC,Minor Renovation,158,High,Medium,32,32700,215,43700
P0452,2022-01-07,KNB,Dry Lab,248,High,Critical,41,401900,331,608600
P0453,2024-08-05,SA,Major Renovation,490,High,High,62,257200,560,353000
P0454,2024-07-13,AD,Major Renovation,108,Low,Low,43,66300,124,70200
P0455,2022-09-02,HRIC,Classroom,253,Medium,Medium,72,334600,336,391700
P0456,2022-04-17,HRIC,Wet Lab,495,High,High,247,3460500,640,4655700
P0457,2022-12-07,END,Minor Renovation,252,Low,High,98,25800,337,33400
P0458,2024-07-22,ES,Wet Lab,177,Medium,Low,15,142300,223,179300
P0459,2022-03-20,KNB,Dry Lab,230,High,Medium,154,847400,259,1089000
P0460,2023-01-19,SA,Minor Renovation,334,Medium,Medium,402,274400,425,353200
P0461,2021-03-21,AD,Major Renovation,175,Medium,High,12,21800,223,26100
P0462,2023-10-18,AD,Wet Lab,131,Medium,Medium,39,385300,153,478000
P0463,2021-04-14,SB,Minor Renovation,209,Medium,High,36,42200,238,45600
P0464,2024-08-16,END,Dry Lab,388,Medium,High,127,857200,447,1011500
P0465,2021-01-20,ES,Minor Renovation,477,High,High,311,627000,631,820200
P0466,2024-06-04,END,Minor Renovation,546,High,High,415,193800,739,284200
P0467,2022-03-08,HRIC,Dry Lab,126,Medium,Medium,48,291400,156,291500
P0468,2020-06-04,ENF,Minor Renovation,288,High,Medium,35,19200,305,23300
P0469,2021-12-04,AD,Major Renovation,288,High,Medium,80,152200,404,182000
P0470,2023-03-29,ENF,Minor Renovation,459,High,High,334,388300,687,575200
P0471,2023-08-30,ENG,Minor Renovation,270,Medium,High,52,58500,333,77000
P0472,2020-11-17,ENG,Major Renovation,270,Low,High,367,638100,315,862100
P0473,2024-10-21,END,Wet Lab,165,High,Medium,20,228500,192,295200
P0474,2020-01-24,KNB,Major Renovation,234,Medium,Medium,89,284300,276,331200
P0475,2020-12-15,KNB,Furniture,295,High,Medium,77,132100,373,151100
P0476,2024-02-04,END,IT/AV,226,Medium,Medium,443,941500,292,1228800
P0477,2022-07-21,ENB,Minor Renovation,340,High,Low,405,220500,426,261600
P0478,2024-07-04,HMRB,Wet Lab,378,High,High,95,1356000,474,2058400
P0479,2022-07-05,ENG,Minor Renovation,261,Medium,Medium,84,99700,332,108300
P0480,2024-03-23,SA,Classroom,410,High,Medium,92,580500,475,798400
P0481,2023-09-25,SA,Furniture,481,Medium,High,381,1342100,698,1948000
P0482,2022-06-30,HRIC,Minor Renovation,126,Medium,Low,32,37700,128,42900
P0483,2023-11-07,KNA,Dry Lab,117,Medium,Low,43,245900,148,258400
P0484,2022-03-12,KNA,Classroom,226,High,Low,40,232300,237,234700
P0485,2020-01-12,HRIC,Minor Renovation,297,Medium,Critical,67,40800,444,57300
P0486,2024-12-17,SA,Wet Lab,126,Low,Low,416,2087200,128,2396400
P0487,2024-06-03,HRIC,Dry Lab,380,High,Critical,42,339300,547,410700
P0488,2023-01-23,ENB,Major Renovation,213,Medium,Medium,223,844800,288,933300
P0489,2022-10-20,HRIC,Wet Lab,283,Medium,Medium,94,815500,396,1032900
P0490,2025-01-01,ENC,Major Renovation,236,Medium,High,104,323400,256,402100
P0491,2021-08-23,END,Classroom,180,High,Low,47,264500,249,320100
P0492,2024-11-27,HRIC,Wet Lab,226,Medium,Medium,367,2106800,314,2382000
P0493,2021-10-14,ENG,Major Renovation,175,Low,Medium,363,1065700,230,1208500
P0494,2021-11-10,ENA,Minor Renovation,176,Low,Medium,80,28200,195,31900
P0495,2021-10-04,HRIC,Classroom,148,Low,Medium,438,1860700,167,1982900
P0496,2021-11-24,KNA,Minor Renovation,118,Low,Medium,81,42800,123,52000
P0497,2021-01-28,AD,Classroom,324,High,Medium,261,1616200,451,2150000
P0498,2023-01-09,KNB,Minor Renovation,204,Medium,High,23,21000,254,25100
P0499,2024-10-14,HRIC,Wet Lab,230,High,Medium,293,3345000,340,4361400
P0500,2020-01-21,END,Minor Renovation,258,Medium,Low,78,32300,336,36900
P0501,2022-06-17,SB,Wet Lab,216,High,Medium,74,761000,314,1126100
P0502,2023-11-19,HMRB,Classroom,280,Medium,Medium,57,285000,300,375200
P0503,2023-02-01,SB,Classroom,445,Medium,Critical,257,1640900,576,2507800
P0504,2022-09-23,TFDL,Minor Renovation,249,Medium,High,194,132100,276,152600
P0505,2024-11-14,SB,Minor Renovation,450,High,High,74,101600,521,117100
P0506,2023-08-05,HMRB,IT/AV,203,Low,Medium,57,128100,224,139100
P0507,2022-06-15,KNB,Dry Lab,158,Low,Medium,61,272700,169,288800
P0508,2024-12-13,AD,Wet Lab,180,High,Medium,48,529500,236,651800
P0509,2023-12-13,SA,Minor Renovation,90,Medium,Low,36,33100,112,36100
P0510,2023-07-16,HRIC,Dry Lab,185,Low,Medium,57,304100,191,299300
P0511,2023-03-05,ES,IT/AV,167,Medium,Medium,28,51000,170,52600
P0512,2022-05-08,ENA,Classroom,162,Medium,Low,191,761900,163,838100
P0513,2024-04-05,SA,Major Renovation,252,High,High,39,113600,350,127800
P0514,2022-03-07,SB,Minor Renovation,154,Medium,Medium,25,29800,186,41200
P0515,2020-10-30,KNB,Major Renovation,283,High,Medium,22,48200,393,61100
P0516,2021-09-21,HRIC,Furniture,299,Medium,Medium,70,130400,372,144600
P0517,2022-10-11,ENF,Minor Renovation,528,High,Critical,76,45500,686,59100
P0518,2021-07-11,ENB,Minor Renovation,236,Medium,High,24,35300,268,49200
P0519,2023-07-11,KNB,Minor Renovation,145,Medium,Medium,30,33000,199,41000
P0520,2021-10-16,ENC,Major Renovation,307,Medium,Medium,83,148300,422,154000
P0521,2020-08-07,KNA,IT/AV,456,High,Medium,489,1499900,666,2209100
P0522,2024-04-24,END,Dry Lab,384,Medium,High,68,489800,489,634300
P0523,2024-06-03,ENF,Major Renovation,280,Medium,High,84,233200,316,303300
P0524,2022-02-13,KNB,Wet Lab,245,Medium,High,45,499500,295,541400
P0525,2020-08-21,ES,Classroom,157,Low,High,58,420600,194,466000
P0526,2021-10-29,ENA,Major Renovation,564,High,High,395,1556100,784,2362700
P0527,2020-10-29,AD,Minor Renovation,194,Low,Low,424,353600,242,321100
P0528,2021-11-12,ENC,Minor Renovation,270,High,High,38,48900,333,57800
P0529,2021-12-07,KNA,Minor Renovation,256,Medium,High,63,30500,367,33100
P0530,2021-10-25,ES,Minor Renovation,305,Medium,Medium,84,56100,349,74200
P0531,2023-01-08,SB,Classroom,136,Low,Medium,116,329500,156,348700
P0532,2020-08-27,ENA,Classroom,145,Medium,Medium,40,170600,150,194900
P0533,2020-01-07,ENG,Classroom,148,High,Low,48,267000,194,332100
P0534,2021-06-19,HMRB,Minor Renovation,133,Medium,Medium,49,38100,157,44500
P0535,2021-03-03,KNB,Wet Lab,346,Medium,High,353,3772200,486,4460500
P0536,2021-10-14,ES,Dry Lab,126,Medium,Medium,17,129600,160,157200
P0537,2021-09-18,KNB,Wet Lab,192,Low,Medium,83,420500,222,537000
P0538,2022-06-05,ENA,Wet Lab,345,Medium,Medium,362,2118700,387,2945400
P0539,2021-07-29,TFDL,Minor Renovation,283,High,Medium,27,34100,350,48400
P0540,2024-12-20,AD,Minor Renovation,202,Low,High,287,101500,217,131100
P0541,2023-11-29,KNB,Wet Lab,167,Medium,Medium,31,235700,180,256200
P0542,2024-03-11,SB,Dry Lab,168,Low,High,41,198500,174,240600
P0543,2023-05-25,ENC,Wet Lab,489,High,Medium,434,5281200,673,5883700
P0544,2020-01-06,ENC,IT/AV,249,Medium,High,87,231600,303,302600
P0545,2022-06-14,HMRB,Minor Renovation,183,Low,Medium,88,64100,223,85000
P0546,2024-06-18,SB,Dry Lab,263,Medium,Low,51,357900,272,441100
P0547,2021-12-03,KNB,Dry Lab,225,Low,Critical,76,399800,296,568800
P0548,2021-04-18,ES,Dry Lab,225,Low,High,61,420500,300,487600
P0549,2020-05-08,TFDL,Minor Renovation,216,Medium,High,77,74400,240,102100
P0550,2020-10-20,TFDL,Minor Renovation,432,High,Medium,267,403500,495,457900
P0551,2023-01-22,END,Classroom,504,High,Critical,51,563300,805,837700
P0552,2022-07-27,ENF,Minor Renovation,134,Low,Medium,44,28600,168,29100
P0553,2020-04-27,ENA,Classroom,522,High,High,99,564100,635,694700
P0554,2024-12-07,SA,Dry Lab,190,Low,Medium,93,413200,223,417300
P0555,2024-11-05,ENB,Minor Renovation,241,High,Medium,80,128700,279,185600
P0556,2020-10-29,HRIC,Wet Lab,112,Medium,Low,38,352800,128,442500
P0557,2020-07-12,KNB,Minor Renovation,113,Low,Medium,81,74000,147,96900
P0558,2021-09-19,ENB,Dry Lab,355,Medium,High,484,2583100,500,3012600
P0559,2020-02-20,HMRB,Classroom,456,High,Medium,489,2659700,576,3402100
P0560,2020-11-22,AD,Wet Lab,214,Medium,Medium,18,134600,233,178300
P0561,2020-04-27,SA,Wet Lab,151,Medium,Low,26,254700,181,306700
P0562,2023-09-03,ES,Wet Lab,301,High,High,96,1052100,433,1518100
P0563,2020-08-07,SA,Major Renovation,256,Medium,Medium,81,305700,264,337100
P0564,2021-05-04,ENF,Classroom,276,Medium,High,170,1051900,360,1218800
P0565,2021-02-11,SB,Dry Lab,159,Medium,Low,52,300800,181,346300
P0566,2021-09-19,ENB,Minor Renovation,198,Low,Medium,68,36800,258,40300
P0567,2022-02-13,HMRB,Furniture,312,Medium,Critical,28,80100,385,108600
P0568,2024-03-11,KNA,Classroom,288,Medium,High,469,2802000,357,3710200
P0569,2020-03-09,HMRB,Minor Renovation,284,High,Medium,233,260200,373,314700
P0570,2022-09-15,HMRB,Minor Renovation,391,Medium,High,89,108300,537,132200
P0571,2023-12-19,KNA,Classroom,204,Medium,High,27,117200,242,141400
P0572,2023-05-15,AD,Classroom,195,High,Low,270,940800,207,1312600
P0573,2020-06-29,KNB,Dry Lab,212,Medium,High,65,433800,293,489800
P0574,2024-01-17,ENA,Wet Lab,197,Medium,Medium,154,1000500,255,1414300
P0575,2020-01-13,KNA,Dry Lab,226,Medium,High,66,424600,287,578800
P0576,2024-06-02,HMRB,Classroom,182,Medium,Low,95,318300,225,335700
P0577,2024-06-23,HRIC,Minor Renovation,144,Low,High,66,61700,172,81000
P0578,2023-03-03,KNA,Minor Renovation,234,High,Low,49,50200,292,61000
P0579,2022-08-02,ENC,Classroom,294,Medium,Critical,41,172500,431,227400
P0580,2024-05-17,ENG,Major Renovation,205,Medium,Medium,126,441200,223,459200
P0581,2021-05-05,HMRB,Minor Renovation,336,High,Critical,43,53100,416,79700
P0582,2022-04-27,KNB,Major Renovation,175,Medium,Medium,193,524300,202,600900
P0583,2021-06-03,ENB,Major Renovation,370,High,Medium,99,307100,473,333700
P0584,2020-11-27,TFDL,Minor Renovation,270,Low,High,67,48700,352,52900
P0585,2022-03-20,HRIC,Classroom,642,High,High,360,2980800,874,3518000
P0586,2021-08-05,ENF,Major Renovation,504,High,High,193,1012500,677,1250800
P0587,2024-05-26,HMRB,Minor Renovation,213,Low,High,78,96900,281,129700
P0588,2021-04-08,END,Wet Lab,320,Medium,High,288,2176800,365,2700900
P0589,2021-09-23,KNA,Minor Renovation,162,Medium,Medium,8,4000,211,4100
P0590,2020-01-09,ENF,Major Renovation,219,High,High,17,88400,326,111700
P0591,2021-04-09,TFDL,Wet Lab,504,High,Medium,438,4644100,731,5364400
P0592,2024-05-17,END,Dry Lab,163,Low,High,14,53900,220,67700
P0593,2024-07-17,ENA,Minor Renovation,513,Medium,High,407,527500,631,713600
P0594,2022-05-02,ENB,Minor Renovation,124,Low,Medium,51,36400,162,37200
P0595,2020-02-28,ENB,IT/AV,249,High,Medium,38,99100,329,136600
P0596,2023-07-29,ENF,IT/AV,231,Low,High,63,116600,290,125900
P0597,2023-05-15,ENF,Major Renovation,490,High,High,315,848700,630,991400
P0598,2022-05-12,SA,Major Renovation,208,High,Medium,18,103400,230,135500
P0599,2023-11-27,AD,Wet Lab,175,Medium,Medium,277,1675700,202,2292100
P0600,2023-12-13,ENG,Major Renovation,136,Low,Low,450,930200,151,1077200
P0601,2024-11-02,ENB,Major Renovation,234,Medium,Medium,127,238700,324,296300
P0602,2023-10-11,ENA,Dry Lab,495,Medium,Critical,67,439700,570,637300
P0603,2023-12-22,ENA,IT/AV,456,High,Low,387,597300,639,633300
P0604,2022-06-27,ENF,Minor Renovation,264,High,Low,60,41100,281,45400
P0605,2020-09-24,SB,Minor Renovation,226,Medium,Medium,498,720200,278,980200
P0606,2022-12-03,HMRB,Minor Renovation,330,Medium,High,72,77600,403,93800
P0607,2021-12-04,KNA,Major Renovation,213,Medium,Medium,76,185300,291,252900
P0608,2023-02-11,END,Minor Renovation,129,Low,Medium,94,30800,129,37800
P0609,2024-03-20,ES,Minor Renovation,146,Low,High,56,83600,154,97800
P0610,2022-06-19,ES,Wet Lab,262,Medium,Medium,411,5123600,291,7248000
P0611,2023-01-03,SB,Major Renovation,270,Medium,Low,465,1084100,282,1233700
P0612,2020-07-27,ENG,Minor Renovation,94,Low,High,43,44900,128,45600
P0613,2021-01-02,ENA,Wet Lab,228,Medium,Critical,40,473300,264,659700
P0614,2022-04-03,KNA,IT/AV,286,Medium,Medium,87,224700,345,257300
P0615,2024-04-09,HRIC,Minor Renovation,191,Medium,Medium,57,59400,236,82900
P0616,2022-02-24,KNB,Wet Lab,139,Medium,Low,126,1085900,153,1456800
P0617,2024-07-01,SA,Classroom,162,Medium,Low,77,356700,202,355700
P0618,2021-10-24,KNA,Classroom,135,Medium,Medium,31,131300,149,145200
P0619,2024-09-03,KNB,Minor Renovation,288,High,High,16,10100,349,13900
P0620,2023-03-01,ENB,IT/AV,333,High,High,38,90100,404,131700
P0621,2021-01-05,ENB,Dry Lab,218,High,Low,34,154300,282,191500
P0622,2021-07-12,KNA,Dry Lab,291,Medium,Medium,77,490900,307,499200
P0623,2024-07-05,ENF,Wet Lab,360,Medium,Critical,193,2299800,504,3273600
P0624,2020-06-28,ENG,Minor Renovation,115,Medium,Medium,41,38700,126,53300
P0625,2021-12-01,SA,Classroom,216,Medium,Medium,33,117500,263,159800
P0626,2022-01-17,TFDL,Dry Lab,264,High,Low,460,2536400,373,3152800
P0627,2023-07-22,ENA,Minor Renovation,531,Medium,High,402,461300,764,544400
P0628,2023-04-30,ENB,Minor Renovation,248,High,Medium,75,73100,278,100400
P0629,2021-09-08,TFDL,Dry Lab,182,Medium,Low,140,687000,190,790900
P0630,2023-07-09,ES,Wet Lab,251,Medium,Medium,82,605900,331,868900
P0631,2023-11-28,ENC,Minor Renovation,117,Medium,Medium,28,19200,125,22900
P0632,2020-11-12,ENF,Classroom,153,Low,High,95,547400,184,622000
P0633,2024-03-31,ENF,Major Renovation,90,Low,Medium,28,45900,89,47600
P0634,2024-02-24,ENC,Minor Renovation,133,Low,Medium,12,4600,174,5600
P0635,2023-07-22,SA,Wet Lab,189,Medium,Low,61,484300,186,530500
P0636,2024-01-03,HMRB,IT/AV,324,High,Low,214,573200,414,795000
P0637,2020-02-29,SA,Major Renovation,259,Low,Medium,458,1304000,337,1376400
P0638,2022-07-23,TFDL,Wet Lab,285,High,High,27,326000,328,383900
P0639,2020-06-07,TFDL,Major Renovation,310,Medium,Medium,73,279200,310,358900
P0640,2024-01-25,END,Classroom,300,High,Low,61,364200,400,433800
P0641,2020-07-08,END,Major Renovation,186,High,High,30,152000,217,207900
P0642,2021-01-31,KNB,Major Renovation,381,Medium,High,73,290300,414,392000
P0643,2022-07-15,AD,Minor Renovation,180,Medium,Medium,26,22900,180,29500
P0644,2022-05-29,SA,Minor Renovation,366,High,Critical,96,53900,578,82100
P0645,2023-12-10,HRIC,Minor Renovation,283,Low,Medium,467,260400,269,292400
P0646,2024-05-11,KNA,Classroom,270,Medium,High,233,1666400,383,2253200
P0647,2020-06-29,ES,Dry Lab,255,Medium,Medium,356,2775500,299,3578200
P0648,2020-05-28,ENB,Dry Lab,240,Medium,High,43,198800,266,262800
P0649,2023-04-16,HMRB,Minor Renovation,212,Medium,Medium,26,26700,229,30600
P0650,2020-06-21,SA,Minor Renovation,194,Low,Medium,461,571400,211,763000
P0651,2023-10-02,ENA,Minor Renovation,252,High,High,14,15300,282,20000
P0652,2024-02-25,HMRB,Minor Renovation,140,Medium,Medium,33,11000,181,12900
P0653,2021-12-20,HRIC,Wet Lab,324,Medium,High,96,1040400,360,1253900
P0654,2023-08-15,END,Minor Renovation,300,High,Critical,35,32200,369,40000
P0655,2021-08-30,SB,Minor Renovation,135,Low,Medium,235,229500,138,219000
P0656,2021-02-13,KNA,Minor Renovation,363,High,Medium,60,23600,423,28700
P0657,2023-05-12,KNB,Minor Renovation,326,High,Medium,451,393700,448,489300
P0658,2023-02-23,SA,Dry Lab,129,Low,Medium,234,1070600,136,1272600
P0659,2023-08-10,SA,Wet Lab,208,Medium,Medium,24,282200,256,329900
P0660,2023-02-21,ENA,Minor Renovation,126,Medium,Medium,5,2800,147,3300
P0661,2021-04-12,ENG,Wet Lab,654,High,High,472,5798500,963,7413200
P0662,2024-07-17,SA,Major Renovation,198,Medium,Low,119,474500,215,551400
P0663,2022-08-08,SA,Furniture,227,Medium,High,45,131400,271,186200
P0664,2020-01-28,ENF,Minor Renovation,417,High,Medium,290,141600,460,181300
P0665,2020-07-22,ES,Minor Renovation,165,High,Medium,19,23500,208,25700
P0666,2024-07-12,SA,Dry Lab,180,High,Medium,37,265800,233,361300
P0667,2020-07-17,AD,Wet Lab,199,Medium,Medium,84,700500,249,924000
P0668,2021-05-14,SB,Major Renovation,229,Medium,High,71,293600,247,379400
P0669,2024-02-21,SA,Minor Renovation,218,Low,Critical,24,36800,301,43800
P0670,2020-05-20,ENA,Minor Renovation,294,Low,Critical,93,53000,324,66300
P0671,2022-02-25,ENF,Minor Renovation,135,Low,Medium,28,10900,165,11400
P0672,2020-02-03,END,Major Renovation,364,Medium,Critical,71,383000,458,461700
P0673,2024-01-15,KNA,Minor Renovation,240,High,Low,341,406600,326,457700
P0674,2024-12-18,ES,Major Renovation,171,Low,High,20,72900,209,72900
P0675,2020-01-06,KNA,Minor Renovation,90,Low,Low,38,37300,110,42500
P0676,2022-02-18,ENB,Minor Renovation,198,Low,High,75,81800,200,111200
P0677,2022-06-26,ENB,Minor Renovation,225,Medium,Low,170,86300,214,87200
P0678,2024-08-05,END,Classroom,303,Medium,High,79,458700,392,482100
P0679,2020-05-25,ENB,Major Renovation,138,Low,Medium,29,84300,138,97500
P0680,2023-01-18,END,Wet Lab,144,Low,Medium,111,824200,151,1097300
P0681,2023-08-26,TFDL,Minor Renovation,184,High,Medium,22,25900,197,28900
P0682,2023-09-23,SA,Dry Lab,540,High,High,65,631200,650,732100
P0683,2021-06-10,SB,Major Renovation,129,Medium,Medium,38,136900,145,154100
P0684,2023-05-29,ES,Dry Lab,330,Medium,High,320,1811500,447,2338900
